Waveform,p_for_S,p_for_Se,OSR,DAC_clock_MHz,R,Required_bits,THD_percent,Weighted_error_percent
S,7,8,32,16,65,7,2.1678742847849,0.253728636763722
S,7,8,32,16,66,7,2.23839012703941,0.298296650824696
S,7,8,32,16,67,7,2.14298627590868,0.177714092042762
S,7,8,32,16,68,7,2.12057145701246,0.160475338679378
S,7,8,32,16,69,7,2.14497182813635,0.204753271486656
S,7,8,32,16,70,7,2.0988770639013,0.184800176077337
S,7,8,32,16,71,7,2.13385533767568,0.158447505759072
S,7,8,32,16,72,7,2.22430207414396,0.271274249005724
S,7,8,32,16,73,7,2.17971329636599,0.246235813379929
S,7,8,32,16,74,7,2.26991075857165,0.314252928322513
S,7,8,32,16,75,7,2.12644598896623,0.19550408290732
S,7,8,32,16,76,7,2.16932900725918,0.178339919461422
S,7,8,32,16,77,7,2.14686655923035,0.175315324999085
S,7,8,32,16,78,7,2.11534215695973,0.162787437849794
S,7,8,32,16,79,7,2.22276690301094,0.253695727034408
S,7,8,32,16,80,7,2.19917706591222,0.292999523292886
S,7,8,32,16,81,7,2.16499861679857,0.283314752744319
S,7,8,32,16,82,7,2.22142465121134,0.236006003400345
S,7,8,32,16,83,7,2.25614891097999,0.293511423566461
S,7,8,32,16,84,7,2.2238569882287,0.297941825366227
S,7,8,32,16,85,7,2.30659455270902,0.35131478154875
S,7,8,32,16,86,7,2.15363703582175,0.174972671554596
S,7,8,32,16,87,7,2.13442688534375,0.17599390824535
S,7,8,32,16,88,7,2.20151866622626,0.263229995478808
S,7,8,32,16,89,7,2.19433430048982,0.285455902650098
S,7,8,32,16,90,7,2.19237342710823,0.240237245606396
S,7,8,32,16,91,7,2.25677682636799,0.276679241101069
S,7,8,32,16,92,7,2.19526111987944,0.263642528365499
S,7,8,32,16,93,7,2.24066951752588,0.292500874470962
S,7,8,32,16,94,7,2.25366460790996,0.265422264537422
S,7,8,32,16,95,7,2.14130064774621,0.17105516678521
S,7,8,32,16,96,7,2.22811059410206,0.273327245762868
S,7,8,32,16,97,7,2.13321444989245,0.172436286008797
S,7,8,32,16,98,7,2.11734807173224,0.180139226009902
S,7,8,32,16,99,7,2.17699876672318,0.262161293221692
S,7,8,32,16,100,7,2.24280719529447,0.310162279221683
S,7,8,32,16,101,7,2.14918417901236,0.178221027117789
S,7,8,32,16,102,7,2.22512161968815,0.272479453073931
S,7,8,32,16,103,7,2.23670156241844,0.284823884930225
S,7,8,32,16,104,7,2.15569366044641,0.249281624214508
S,7,8,32,16,105,7,2.15375941808775,0.166197698100509
S,7,8,32,16,106,7,2.12675646434286,0.168558842530354
S,7,8,32,16,107,7,2.20077288613205,0.263081204902697
S,7,8,32,16,108,7,2.19618284340748,0.264936822822286
S,7,8,32,16,109,7,2.13541316728462,0.16988560998596
S,7,8,32,16,110,7,2.16654886841714,0.175760181110472
S,7,8,32,16,111,7,2.23894705788545,0.273050886989387
S,7,8,32,16,112,7,2.1803477600552,0.265105158162255
S,7,8,32,16,113,7,2.15456968152716,0.162385701539422
S,7,8,32,16,114,7,2.191222731727,0.238254873689637
S,7,8,32,16,115,7,2.11725345089385,0.187765644221818
S,7,8,32,16,116,7,2.13741816909076,0.172696274233698
S,7,8,32,16,117,7,2.1879680918514,0.248571817956791
S,7,8,32,16,118,7,2.18024245433519,0.262654601304163
S,7,8,32,16,119,7,2.17580450059101,0.24977221032664
S,7,8,32,16,120,7,2.22002880310083,0.22181182894642
S,7,8,32,16,121,7,2.10817356834049,0.161443591852633
S,7,8,32,16,122,7,2.16992544632053,0.247362767601419
S,7,8,32,16,123,7,2.16206529684536,0.257859574022704
S,7,8,32,16,124,7,2.14218940786464,0.153940431528403
S,7,8,32,16,125,7,2.1545095802226,0.178800079801011
S,7,8,32,16,126,7,2.12964257470243,0.169493468146929
S,7,8,32,16,127,7,2.19608669840222,0.265240723272235
S,7,8,32,16,128,8,2.19284612096297,0.218231108934319
Se,7,8,32,16,4,3,2.30096633225713,0.944566781800843
Se,7,8,32,16,5,3,3.0315874168482,1.2008270525513
Se,7,8,32,16,6,3,1.13597375069755,0.386999580173724
Se,7,8,32,16,7,3,2.34027735613104,0.887818060762704
Se,7,8,32,16,8,4,0.910531817412896,0.377318507941096
Se,7,8,32,16,9,4,1.57242577849047,0.624970467234962
Se,7,8,32,16,10,4,0.781722724139738,0.306627065738915
Se,7,8,32,16,11,4,1.49045716914952,0.620567175533469
Se,7,8,32,16,12,4,1.98196898060777,0.746033023043481
Se,7,8,32,16,13,4,0.922109216725667,0.300750406257583
Se,7,8,32,16,14,4,0.550570473218473,0.218754652254408
Se,7,8,32,16,15,4,0.794454290147876,0.277777151397796
Se,7,8,32,16,16,5,0.270287977032052,0.0924209025108795
Se,7,8,32,16,17,5,0.761207181155827,0.288374569830045
Se,7,8,32,16,18,5,0.839019635288457,0.343171877359816
Se,7,8,32,16,19,5,0.725751837946255,0.27483000223843
Se,7,8,32,16,20,5,0.581072584180416,0.246216252010793
Se,7,8,32,16,21,5,0.70188197203241,0.260548989180788
Se,7,8,32,16,22,5,0.368566518467789,0.149903160206089
Se,7,8,32,16,23,5,0.602850651860611,0.222204155737121
Se,7,8,32,16,24,5,0.241016567984144,0.0709851164291306
